split_parent_id,scaffold_smiles,scaffold_id,is_acyclic,acyclic_cluster_id,scaffold_split_group_id
par_000fc6c64134ca300d11,O=C1CCCCCCCCCCO1,scf_000fc6c64134ca300d11,False,,scf_000fc6c64134ca300d11
par_0026890506bc5d256437,c1ccc(C2CO2)cc1,scf_0026890506bc5d256437,False,,scf_0026890506bc5d256437
par_0029fff93fb64faf7cd5,,,True,acy_00265cd7a39e37e68722,acy_00265cd7a39e37e68722
par_002d1d72466fe4e76d5e,C1CCNCC1,scf_daa04a326d407f1003f7,False,,scf_daa04a326d407f1003f7
par_00339be2debc1ee986f5,O=C1CCC(=O)N1C1CCNCC1,scf_431a76a19c6cbea4f5e5,False,,scf_431a76a19c6cbea4f5e5
par_003719abf88cacaa6675,c1ccc2ccccc2c1,scf_a896d495b04a450b732a,False,,scf_a896d495b04a450b732a
par_003b0bfdd04b5d5a93d4,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_0046c1925fd5e4ddfc68,,,True,acy_75cc5e32ee4b4ca0f63f,acy_75cc5e32ee4b4ca0f63f
par_0052a3734906f9bcfc20,,,True,acy_32fa1cb840dc78d29ec0,acy_32fa1cb840dc78d29ec0
par_005378c4bb6e9230db4e,,,True,acy_0d167ddda31ef4a958aa,acy_0d167ddda31ef4a958aa
par_006730b97e307ff9a8df,c1ccc2[nH]ccc2c1,scf_e65f5bb7d6337f0d157e,False,,scf_e65f5bb7d6337f0d157e
par_0094efa2a0ab0d769083,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_00af420c931313f22e8f,C1CNCCN1,scf_dcbee0ce71a0a74f5873,False,,scf_dcbee0ce71a0a74f5873
par_00afbb87cc755a4bc12f,c1ccccc1,scf_13cad05ca8f49c509e5b,False,,scf_13cad05ca8f49c509e5b
par_00bbc25963a670344aa1,,,True,acy_cd32588bd116b6c68494,acy_cd32588bd116b6c68494
par_00c9a1cecef5d9d06ffd,C1CCNC1,scf_487ed2dcbfa239f0ffcc,False,,scf_487ed2dcbfa239f0ffcc
par_00d461195d46fe69b0db,,,True,acy_75cc5e32ee4b4ca0f63f,acy_75cc5e32ee4b4ca0f63f
par_00d91eea90d00b6b5e13,c1ccc(N(CC2CO2)CC2CO2)cc1,scf_00d91eea90d00b6b5e13,False,,scf_00d91eea90d00b6b5e13
par_00dce3b50f702d4461f8,O=C(OCc1ccccc1)c1ccccc1,scf_10ed63108da7fff9cfff,False,,scf_10ed63108da7fff9cfff
par_00e7d26e6956a1e78e39,c1cc[nH+]cc1,scf_8eb2bbb7e55a790a4ea4,False,,scf_8eb2bbb7e55a790a4ea4
par_00f21cc41dd01e8a8a75,,,True,acy_4a859606e0321ed0c65f,acy_4a859606e0321ed0c65f
par_00ffdeb4a5ae34db60a5,C1=CCCCC1,scf_fe8528cff2dfdfccb743,False,,scf_fe8528cff2dfdfccb743
